date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:58	145/145	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2012:07:58%20GMT	https://discordbotturkish.cf/robots.txt		(from )
15:07:59	48102/48102	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Apr%202019%2012:07:59%20GMT	https://discordbotturkish.cf/	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/discordbotturkish.cf/index.html	(from )
15:08:00	190632/190632	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202019%2018:33:23%20GMT	https://cdn.discordapp.com/avatars/371283127366057985/59e36493f6737a3c1f4f3f14d83869d5.png?size=2048	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/cdn.discordapp.com/avatars/371283127366057985/59e36493f6737a3c1f4f3f14d83869d5bd5f.png	(from https://discordbotturkish.cf/)
15:08:00	180336/180336	---MCZ	200	added ('OK')	text/css	etag:W/%225cb212df-2c070%22	https://bootswatch.com/4/cyborg/bootstrap.min.css	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/bootswatch.com/4/cyborg/bootstrap.min.css	(from https://discordbotturkish.cf/)
15:08:00	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://discordbotturkish.cf/)
15:08:01	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/code.jquery.com/jquery-1.12.4.min.js	(from https://discordbotturkish.cf/)
15:08:02	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://discordbotturkish.cf/)
15:08:02	110052/110052	---M-Z	200	added ('OK')	application/javascript	etag:%2218809b2-1ade4-5597ae4053114-gzip%22	https://cdn.datatables.net/v/bs4/dt-1.10.16/cr-1.4.1/r-2.2.0/datatables.min.js	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/cdn.datatables.net/v/bs4/dt-1.10.16/cr-1.4.1/r-2.2.0/datatables.min.js	(from https://discordbotturkish.cf/)
15:08:02	19033/19033	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4a59%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	(from https://discordbotturkish.cf/)
15:08:03	51143/51143	---M-Z	200	added ('OK')	text/javascript	etag:%221544639632%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/js/bootstrap.min.js	C:/Users/Emirhan%20Cem/Desktop/Siteler/https___discordbotturkish.cf_/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/js/bootstrap.min.js	(from https://discordbotturkish.cf/)
